"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"1","Staff Accountant",48660.68,51502.95,54949.58,55352.92,55781.23
"2","Accountant",47397.13,49574.4,56661.79,58019.13,59304.43
"3","Financial Analyst",56499.7,61672.04,70049.12,73354.69,75810.6
"4","Senior Accountant",62383.38,66869.51,70788.86,72260.1,71501.61
"5","Financial Controller",64967.96,72282.04,85379.53,91534.49,90879.32
"6","Quality Assurance Auditor",49342.87,53773.18,61304.12,72242.67,75017.3
"7","Accounting Manager",60372.94,65906.13,77893.51,77142.92,72319.98
"8","Senior Financial Analyst",71347.76,77808.08,84380.68,88523.69,91302.77
"9","Finance Manager",60506.52,77930.05,98936.27,100626.53,89021.76
"10","Corporate Controller",74862.85,82198.64,97511.3,109117.3,106158.11
"11","Finance Director",75023.83,81015.77,108636.59,123963.09,115546.78
"12","Associate - Accounting or Auditing Firm",55987.11,59770.5,73046.45,96500,56025.5
"13","Assistant Controller",57625.8,68455.8,79818.62,84489.03,82589.93
"14","Certified Public Accountant (CPA)",55099.15,60202.91,72044.63,85739.88,98499.19
"15","Financial Advisor",49708.71,56513.63,69825.78,78679.39,80862.7
"16","Branch Manager, Banking",50463.95,54748.43,59759.54,63118.33,64720.67
"17","Credit Analyst",47639.42,52077.22,59272.64,60722.43,58963.18
"18","Compliance Specialist",48865.42,55024.97,61254.62,66498.66,68526.63
"19","Tax Manager",80627.95,87611.58,98381.36,102772.24,105597.63
"20","Compliance Manager",60101.76,69497.14,82148.88,88999.15,90801.67
"21","Compliance Analyst",52733.46,57597.85,64659.87,65268.4,69765.8
"22","Underwriter",50494.82,58909.36,65383.69,69154.96,75405.04
"23","Compliance Officer",54342.79,62740.77,75317.43,82078.36,87779.46
"24","Auditor",53914.84,56484.51,64962.38,72485.87,76012.36
"25","Accounting Supervisor",53083.88,61628.95,69264.95,69351.41,67019.27
"26","Internal Auditor",54633.66,58927.03,66898.48,69188.94,70030.36
"27","Tax Accountant",53463.12,56768.2,63687.49,65678.55,68143
"28","Portfolio Manager",61427.15,73335.67,90420.76,106500.26,122625.57
"29","Tax Associate",57611.78,59137.23,64522.34,61675.49,62000
"30","Senior Tax Accountant",70805.37,75758.23,78156.55,78999.28,NA
"31","Assistant Branch Manager, Banking",41260.52,44934.61,47350.73,49501.8,50070.45
"32","Business Analyst, Finance/Banking",57084.43,64618.94,70110.44,76201.39,83921.64
"33","Senior Auditor",59069.33,68623.89,75709.72,82511.46,88256.42
"34","Senior Underwriter",50721.29,77397.31,82658.57,86892.77,86254.9
"35","Risk Manager",64627.48,77257.34,91026.07,99849.32,101966.41
"36","Senior Finance Manager",103209.93,120692.34,127131.76,127758.8,NA
"37","Loan Officer",43266.11,46233.11,50427.26,52295.74,57216.29
"38","Project Accountant",50288.16,56725.5,62843.63,65850.74,68668.46
"39","Accounting Director",79381.84,102794.33,115823.34,109477.87,NA
"40","Senior Staff Accountant",56601.6,61592.77,65235,65715.06,68146.98
"41","Investment Analyst",59563.99,65203.72,82643.98,98108.77,99989.73
"42","Compliance Director",82424.24,83575.98,100056.65,116724.54,120130.27
"43","Risk Analyst",60175.54,64913.74,73927.96,82539.87,79669.11
"44","Associate Auditor",56880.16,58192.32,63985.54,77000,70000
"45","Senior Internal Auditor",68362.22,76445.15,83424.44,87886.34,89664.13
"46","Credit Manager",50678.51,59417.92,64833.09,70934.76,74848.63
"47","Junior Accountant",44376.04,46445.56,45906.18,50400.8,49911.79
"48","Cost Accountant",51154.84,55469.13,62449.16,65241.29,64565.94
"49","Tax Preparer",11.99,13.14,15.73,17.08,21.32
"50","Fraud Investigator",49509.53,57357.14,62027.29,66990.61,76510.12
"51","Universal Banker",15.5,16.14,17.48,17.23,17.45
"52","Director of Finance & Administration",61360.67,67462.27,83439.59,96518.85,99490.19
"53","Asset Manager",55468.25,66088.6,80168.89,83249.22,86476.01
"54","Financial Planner",50161.96,60513.45,72067.22,82633.24,100222.21
"55","Senior Tax Manager",95481.13,125519.48,135654.98,132919.02,NA
"56","Treasury Analyst",54679.48,58989.54,64245.65,68805.96,73204.55
"57","Plant Controller",74842.98,80796.82,93239.18,100686.7,100627.58
"58","Budget Analyst",52184.52,57484.01,66716.59,72021.63,74257.34
"59","Accounting Analyst",49311.36,54966.78,59290.9,58581.4,61248.12
"60","Internal Auditing Manager",84125.92,101690.81,107321.8,111138.44,NA
"61","Financial Counselor",16.06,17.07,17.96,18.88,18.58
"62","Financial Consultant",57868.66,67322.96,76335.52,81110.19,88193.31
"63","Insurance Underwriter",49227.58,56323.62,60941.65,63868.62,71326.4
"64","Staff Auditor",54706.41,55516.17,61161.46,60130.96,40000
"65","Manager, Financial Planning & Analysis",74945.49,93589.39,100549.79,108165.48,113311.83
"66","Financial Manager",59308.33,65463.12,79668.84,77801.91,78965.13
"67","Finance Associate",57308.41,65566.04,78856.67,60700.86,57439.16
"68","Financial Coordinator",17.25,18.78,20.38,21.43,23
"69","Finance Analyst",59914.44,62961.2,70972.77,79249.28,74495.3
"70","Underwriting Assistant",43365.07,45517.2,48018.98,51915.54,57607.02
"71","Tax Analyst",51670.11,59271.86,62383.72,65636.99,68569.17
"72","Property Accountant",49548.3,55506.71,60840.42,61790.59,61858.69
"73","Regulatory Compliance Manager",67499.34,74661.25,85169.6,94825.72,99518.15
"74","Senior Credit Analyst",67039.79,69205.74,72313.2,71124.73,NA
