"","job_header","job_link","Sector","full_link"
"1","Staff Accountant","/research/US/Job=Staff_Accountant/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Staff_Accountant/Salary"
"2","Accountant","/research/US/Job=Accountant/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Accountant/Salary"
"3","Financial Analyst","/research/US/Job=Financial_Analyst/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Financial_Analyst/Salary"
"4","Senior Accountant","/research/US/Job=Senior_Accountant/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Senior_Accountant/Salary"
"5","Financial Controller","/research/US/Job=Financial_Controller/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Financial_Controller/Salary"
"6","Quality Assurance Auditor","/research/US/Job=Quality_Assurance_Auditor/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Quality_Assurance_Auditor/Salary"
"7","Accounting Manager","/research/US/Job=Accounting_Manager/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Accounting_Manager/Salary"
"8","Senior Financial Analyst","/research/US/Job=Senior_Financial_Analyst/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Senior_Financial_Analyst/Salary"
"9","Finance Manager","/research/US/Job=Finance_Manager/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Finance_Manager/Salary"
"10","Corporate Controller","/research/US/Job=Corporate_Controller/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Corporate_Controller/Salary"
"11","Finance Director","/research/US/Job=Finance_Director/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Finance_Director/Salary"
"12","Associate - Accounting or Auditing Firm","/research/US/Job=Associate_-_Accounting_or_Auditing_Firm/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Associate_-_Accounting_or_Auditing_Firm/Salary"
"13","Assistant Controller","/research/US/Job=Assistant_Controller/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Assistant_Controller/Salary"
"14","Certified Public Accountant (CPA)","/research/US/Job=Certified_Public_Accountant_(CPA)/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Certified_Public_Accountant_(CPA)/Salary"
"15","Financial Advisor","/research/US/Job=Financial_Advisor/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Financial_Advisor/Salary"
"16","Branch Manager, Banking","/research/US/Job=Branch_Manager%2C_Banking/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Branch_Manager%2C_Banking/Salary"
"17","Credit Analyst","/research/US/Job=Credit_Analyst/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Credit_Analyst/Salary"
"18","Compliance Specialist","/research/US/Job=Compliance_Specialist/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Compliance_Specialist/Salary"
"19","Tax Manager","/research/US/Job=Tax_Manager/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Tax_Manager/Salary"
"20","Compliance Manager","/research/US/Job=Compliance_Manager/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Compliance_Manager/Salary"
"21","Compliance Analyst","/research/US/Job=Compliance_Analyst/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Compliance_Analyst/Salary"
"22","Underwriter","/research/US/Job=Underwriter/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Underwriter/Salary"
"23","Compliance Officer","/research/US/Job=Compliance_Officer/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Compliance_Officer/Salary"
"24","Auditor","/research/US/Job=Auditor/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Auditor/Salary"
"25","Accounting Supervisor","/research/US/Job=Accounting_Supervisor/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Accounting_Supervisor/Salary"
"26","Internal Auditor","/research/US/Job=Internal_Auditor/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Internal_Auditor/Salary"
"27","Tax Accountant","/research/US/Job=Tax_Accountant/Salary","Accounting-and-Finance","https://www.payscale.com/research/US/Job=Tax_Accountant/Salary"
